year,month,avg_uv_index
2010,1,2.395962779494637
2010,2,1.907175490122248
2010,3,1.3657154135512934
2010,4,0.729151289461983
2010,5,0.3714830221308219
2010,6,0.22557892764282872
2010,7,0.2581342558050148
2010,8,0.3900916268862695
2010,9,0.6583549459294977
2010,10,1.2708709360506294
2010,11,1.5808071183353185
2010,12,1.9813510580575149
2011,1,2.1833869144510762
2011,2,1.7189096187831354
2011,3,1.2552066619963391
2011,4,0.7953392308993789
2011,5,0.34794570401681774
2011,6,0.2542863147080113
2011,7,0.24204581755122528
2011,8,0.45627914575796474
2011,9,0.7931802947278821
2011,10,1.1477233776119038
2011,11,1.5428716121821737
2011,12,2.10542563793543
2012,1,2.314482743144383
2012,2,1.8490181225429092
2012,3,1.282071037761234
2012,4,0.8060041695621959
2012,5,0.3605125042054503
2012,6,0.25831776567389036
2012,7,0.28728964419433667
2012,8,0.4505554932861082
2012,9,0.7468541434927698
2012,10,1.1510403859098048
2012,11,1.83458938094134
2012,12,2.297767621646203
2013,1,2.448073611079884
2013,2,2.018799323282082
2013,3,1.502170274817723
2013,4,0.789608520304098
2013,5,0.42527383276121244
2013,6,0.3068395548342221
2013,7,0.3620625184579386
2013,8,0.48622237677517777
2013,9,0.8247123052670623
2013,10,1.2113884653332139
2013,11,1.6828997912806922
2013,12,2.172858748426542
2014,1,2.476985401296168
2014,2,1.9463629138414922
2014,3,1.2872050861546065
2014,4,0.6919139956388192
2014,5,0.38923346041713386
2014,6,0.23808452924674842
2014,7,0.28279413084447635
2014,8,0.48184937238493725
2014,9,0.8252560803134636
2014,10,1.2379320744525217
2014,11,1.8328846778308672
2014,12,2.0651932940192954
2015,1,2.152000493284603
2015,2,1.9053705866275747
2015,3,1.3565009311404788
2015,4,0.8096318790857249
2015,5,0.412438241827279
2015,6,0.2974648801520701
2015,7,0.28231778719967693
2015,8,0.42633576314904115
2015,9,0.888255366498215
2015,10,1.4423956300334253
2015,11,1.667781822397403
2015,12,2.407284618343932
2016,1,2.0890768782107365
2016,2,2.0726288400201445
2016,3,1.2485693758419398
2016,4,0.7482814673963454
2016,5,0.4205023558447386
2016,6,0.29981988038388424
2016,7,0.31871935216133157
2016,8,0.5014245014245015
2016,9,0.7422200843803607
2016,10,1.1899883347914844
2016,11,1.61774885251982
2016,12,2.2491377105812154
2017,1,2.419834414054612
2017,2,1.9850763712974342
2017,3,1.5258523453799044
2017,4,0.7509521160710146
2017,5,0.4045780102831227
2017,6,0.2717309799715545
2017,7,0.31711182139338157
2017,8,0.4473103943617714
2017,9,0.6953038405444822
2017,10,1.2332883680283235
2017,11,1.8073960145683996
2017,12,2.1278849946217284
2018,1,2.293289411659072
2018,2,1.963588902963018
2018,3,1.3895660258995384
2018,4,0.7587030519149724
2018,5,0.34279508949573245
2018,6,0.24587342006574378
2018,7,0.2897739087568343
2018,8,0.434989470854429
2018,9,0.7885622685185185
2018,10,1.2370580197132617
2018,11,1.4758467592592592
2018,12,2.1586043906810035
2019,1,2.3989986559139784
2019,2,1.9197596726190478
2019,3,1.2940911738351255
2019,4,0.7553891938210704
2019,5,0.38653293010752693
2019,6,0.2746354902187753
2019,7,0.29321131745782836
2019,8,0.47270816998588683
2019,9,0.7707202222479455
2019,10,1.3102300627240142
2019,11,1.7309243055555554
2019,12,2.281560742848182
2020,1,2.1323270609318996
2020,2,1.7425340038314177
2020,3,1.354936827956989
2020,4,0.7778895833333334
2020,5,0.43779973118279575
2020,6,0.33523192771084337
2020,7,0.33142274692533435
2020,8,0.5046077508960574
2020,9,0.8776081018518518
2020,10,1.1522267025089605
2020,11,1.8732775462962963
2020,12,2.2272995071684587
2021,1,2.2525533154121864
2021,2,1.9412339676002877
2021,3,1.2169310035842296
2021,4,0.7285074074074074
2021,5,0.4278167152139816
2021,6,0.27311866290106024
2021,7,0.3044115538027159
2021,8,0.5077437275985663
2021,9,0.8831993666464862
2021,10,1.2783250448028673
2021,11,1.6761657407407407
2021,12,2.2579690860215056
2022,1,2.383057123655914
2022,2,1.9784127220402898
2022,3,1.295527329749104
2022,4,0.7222289351851852
2022,5,0.3874802867383512
2022,6,0.27018217592592597
2022,7,0.30780661064425774
2022,8,0.45144422043010757
2022,9,0.7132810185185186
2022,10,1.1168214605734768
2022,11,1.5024166666666667
2022,12,2.1812771057347673
2023,1,2.1514081541218637
2023,2,1.7549432043650792
2023,3,1.2039874551971326
2023,4,0.7087962962962963
2023,5,0.36702240143369175
2023,6,0.2612085648148148
2023,7,0.3098685035842294
2023,8,0.4563014404444544
2023,9,0.9060023148148149
2023,10,1.1885824372759857
2023,11,1.6121541666666666
2023,12,1.8689224910394264
2024,1,2.15052105734767
2024,2,2.128792385057471
2024,3,1.478722894265233
2024,4,0.6801701388888889
2024,5,0.4308795715310147
2024,6,0.27014427307674493
2024,7,0.263086818161445
2024,8,0.5134672015418749
2024,9,0.7357434199865738
2024,10,1.3467900985663082
2024,11,1.7488233796296295
2024,12,2.449810035842294
