year,avg_uv_index
2010,1.0967707000503577
2011,1.0701328555471723
2012,1.133634109140425
2013,1.1820900058065797
2014,1.1427500511019881
2015,1.1664954352700703
2016,1.122655747611338
2017,1.1665848919069268
2018,1.1109088434856258
2019,1.1541675641118336
2020,1.1443605775343026
2021,1.142072380256192
2022,1.1053854554933378
2023,1.06222616481386
2024,1.18156656571177
